panel	task_id	split	species	genus	family	sample_count	assembly_accessions	canonical_assembly_splits	species_seen_in_downstream_train	genus_seen_in_downstream_train	family_seen_in_downstream_train	species_seen_in_stageB_train	genus_seen_in_stageB_train	family_seen_in_stageB_train	interpretation
CropGenome-Bench-v1	TES_polyA	train	Setaria italica	Setaria	Poaceae	542	GCF_000263155.2	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	TES_polyA	train	Sorghum bicolor	Sorghum	Poaceae	769	GCA_015952705.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	TES_polyA	train	Vigna radiata	Vigna	Fabaceae	601	GCF_000741045.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	TES_polyA	train	Vitis vinifera	Vitis	Vitaceae	942	GCF_030704535.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	TES_polyA	val	Beta vulgaris	Beta	Amaranthaceae	404	GCF_026745355.1	train	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	TES_polyA	val	Daucus carota	Daucus	Apiaceae	349	GCF_001625215.2	val	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	TES_polyA	val	Manihot esculenta	Manihot	Euphorbiaceae	271	GCF_001659605.2	train	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	TES_polyA	test	Cucumis sativus	Cucumis	Cucurbitaceae	138	GCF_000004075.3	test	no	no	no	no	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	TES_polyA	test	Oryza sativa	Oryza	Poaceae	412	GCA_004007595.1	test	no	no	yes	yes	yes	yes	species and genus held out downstream, but family occurs in downstream train
CropGenome-Bench-v1	TES_polyA	test	Solanum tuberosum	Solanum	Solanaceae	474	GCA_020169535.1	test	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	splice_donor_acceptor	train	Prunus persica	Prunus	Rosaceae	192	GCF_000346465.2	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	splice_donor_acceptor	train	Setaria italica	Setaria	Poaceae	236	GCF_000263155.2	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	splice_donor_acceptor	train	Sorghum bicolor	Sorghum	Poaceae	297	GCA_015952705.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	splice_donor_acceptor	train	Vigna radiata	Vigna	Fabaceae	515	GCF_000741045.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	splice_donor_acceptor	train	Vitis vinifera	Vitis	Vitaceae	2856	GCF_030704535.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	splice_donor_acceptor	val	Beta vulgaris	Beta	Amaranthaceae	375	GCF_026745355.1	train	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	splice_donor_acceptor	val	Daucus carota	Daucus	Apiaceae	203	GCF_001625215.2	val	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	splice_donor_acceptor	val	Manihot esculenta	Manihot	Euphorbiaceae	446	GCF_001659605.2	train	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	splice_donor_acceptor	test	Cucumis sativus	Cucumis	Cucurbitaceae	359	GCF_000004075.3	test	no	no	no	no	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	splice_donor_acceptor	test	Oryza sativa	Oryza	Poaceae	296	GCA_004007595.1	test	no	no	yes	yes	yes	yes	species and genus held out downstream, but family occurs in downstream train
CropGenome-Bench-v1	splice_donor_acceptor	test	Solanum tuberosum	Solanum	Solanaceae	369	GCA_020169535.1	test	no	no	no	yes	yes	yes	species, genus and family held out downstream
Plant-Genomic-Benchmark	enhancer_cassava_proseq	train	Manihot esculenta	Manihot	Euphorbiaceae	16852	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	enhancer_cassava_proseq	val	Manihot esculenta	Manihot	Euphorbiaceae	1229	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	enhancer_cassava_proseq	test	Manihot esculenta	Manihot	Euphorbiaceae	812	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_arabidopsis_thaliana	train	Arabidopsis thaliana	Arabidopsis	Brassicaceae	25728	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	no	no	yes	downstream training taxon
Plant-Genomic-Benchmark	gene_expression_arabidopsis_thaliana	val	Arabidopsis thaliana	Arabidopsis	Brassicaceae	3399	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	no	no	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_arabidopsis_thaliana	test	Arabidopsis thaliana	Arabidopsis	Brassicaceae	3402	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	no	no	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_glycine_max	train	Glycine max	Glycine	Fabaceae	47105	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	gene_expression_glycine_max	val	Glycine max	Glycine	Fabaceae	4801	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_glycine_max	test	Glycine max	Glycine	Fabaceae	4803	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_oryza_sativa	train	Oryza sativa	Oryza	Poaceae	31224	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	gene_expression_oryza_sativa	val	Oryza sativa	Oryza	Poaceae	3700	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_oryza_sativa	test	Oryza sativa	Oryza	Poaceae	3702	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_solanum_lycopersicum	train	Solanum lycopersicum	Solanum	Solanaceae	27307	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	gene_expression_solanum_lycopersicum	val	Solanum lycopersicum	Solanum	Solanaceae	3826	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_solanum_lycopersicum	test	Solanum lycopersicum	Solanum	Solanaceae	3827	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_zea_mays	train	Zea mays	Zea	Poaceae	34487	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	gene_expression_zea_mays	val	Zea mays	Zea	Poaceae	4482	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	gene_expression_zea_mays	test	Zea mays	Zea	Poaceae	4483	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	train	Glycine max	Glycine	Fabaceae	10127	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	lncrna_multispecies	train	Manihot esculenta	Manihot	Euphorbiaceae	4298	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	lncrna_multispecies	train	Solanum lycopersicum	Solanum	Solanaceae	6536	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	lncrna_multispecies	train	Sorghum bicolor	Sorghum	Poaceae	7725	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	lncrna_multispecies	train	Triticum aestivum	Triticum	Poaceae	9627	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	lncrna_multispecies	train	Zea mays	Zea	Poaceae	7275	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	downstream training taxon
Plant-Genomic-Benchmark	lncrna_multispecies	val	Glycine max	Glycine	Fabaceae	1036	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	val	Manihot esculenta	Manihot	Euphorbiaceae	489	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	val	Solanum lycopersicum	Solanum	Solanaceae	695	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	val	Sorghum bicolor	Sorghum	Poaceae	857	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	val	Triticum aestivum	Triticum	Poaceae	1141	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	val	Zea mays	Zea	Poaceae	894	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	test	Glycine max	Glycine	Fabaceae	490	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	test	Manihot esculenta	Manihot	Euphorbiaceae	360	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	test	Solanum lycopersicum	Solanum	Solanaceae	1072	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	test	Sorghum bicolor	Sorghum	Poaceae	734	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	test	Triticum aestivum	Triticum	Poaceae	1810	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
Plant-Genomic-Benchmark	lncrna_multispecies	test	Zea mays	Zea	Poaceae	1629	not_available_in_external_dataset	not_auditable_no_accession_mapping	yes	yes	yes	yes	yes	yes	same species occurs in downstream train; this is within-species supervised generalization
